3-gram,*/*,3/*,4/*,5/*,6/*,7/*,8/*,9/*,3/1:3,4/1:3,4/2:4,5/1:3,5/2:4,5/3:5,6/1:3,6/2:4,6/3:5,6/4:6,7/1:3,7/2:4,7/3:5,7/4:6,7/5:7,8/1:3,8/2:4,8/3:5,8/4:6,8/5:7,8/6:8,9/1:3,9/2:4,9/3:5,9/4:6,9/5:7,9/6:8,9/7:9,*/1:3,*/2:4,*/3:5,*/4:6,*/5:7,*/6:8,*/7:9,*/8:10,*/9:11,*/-9:-7,*/-8:-6,*/-7:-5,*/-6:-4,*/-5:-3,*/-4:-2,*/-3:-1
CHO,1111222474,1862356,17441809,42139081,515432589,176931413,69666757,49506279,1862356,7930149,9511661,37884057,1837278,2417748,200023118,298487474,10628900,6293100,43908978,119420781,5379296,5536643,2685719,19272488,30650347,17148035,1194060,1040032,361800,9198324,20073913,9735416,6289363,4095154,114114,1,335879062,516284763,47359781,172416261,20206287,11923366,3162072,1382973,2401567,36971901,49335634,133752122,345660056,357480689,27087111,23132379
EAN,1111113413,347333,204427086,415726281,43498688,170144529,159306838,64788926,347333,1,204427086,1,343417100,72309182,1,19745275,5140932,18612483,1,116536836,23108313,16501778,13997605,1,29107378,16149786,2442142,12860242,98747294,1,23448793,4136220,2706709,7758046,12120892,14618271,347333,758489838,125921817,40263109,35383360,111563398,17494246,2414257,2589229,17375403,23664204,34226297,136747958,54737136,391798400,442952818
OCI,1107578344,1,4722556,8757822,364576887,230808859,60232532,113027688,1,1,4722556,1,8757822,1,1,364462459,114429,1,1,230319201,373011,116649,1,1,20611606,103920,38566969,950040,1,1,92185818,1,19455663,1386209,1,1,1,766692352,830888,317687160,12037852,2335325,4789382,2897359,1,35146859,206002477,148148438,252152396,413639670,10470966,4722556
TAB,1104333418,6882020,4002210,254708158,71952195,41650930,81667279,141794942,6882020,2293330,1708881,252611105,386404,1710651,40692862,31032958,226377,1,9987257,4773340,26613217,1,277119,1743491,1025944,23907982,54989865,1,1,2445250,31808774,62609955,251235,44679732,1,1,330044473,83582366,330361951,69536638,70725724,111453412,68853249,17891692,20257608,136918276,86478478,75422881,85589297,609911091,2906109,10578668
QUA,1103867435,3122262,10966977,129565048,106658986,272869420,230134797,117819220,3122262,9849630,1117348,20078244,109329313,157493,27191608,79011078,103296,353007,180692713,82797646,696048,8432543,250474,84286532,100022368,1975195,43398046,452660,1,80321017,34227512,285177,1970779,1014739,1,1,506508057,416151596,36163991,84216464,26323303,33889496,1,614534,1,96093190,152533169,308701991,118748344,171531285,128167438,5615113
FFI,1102521641,296307,253555,1644978,184562069,144352490,179476602,219402734,296307,1,253555,1,1358756,286223,1,174464926,10097144,1,1,96971625,12038371,35342496,1,1,160787014,5644675,10874024,2170892,1,1,82087077,131791897,5274656,249107,1,1,296307,606759607,375297266,100014904,18962956,433000,757607,1,1,82482401,254701529,297431783,107890954,198061406,49194118,836083
USI,1101229825,127751,733163,306254040,31439820,110724064,287895982,158154635,127751,336007,397157,201536863,104717178,1,1,16861412,14578409,1,1,30392613,79967427,364026,1,1,235517687,594457,51139889,455567,188386,1,10432550,973460,20959800,124454015,1334814,1,202000619,424318369,96273312,75332910,190081740,100380371,10450220,2024663,143030,19779269,20924617,266326232,110248930,547423358,121785996,713292
MPO,1098955148,102673,1,5636346,34208127,62757415,120634151,456026874,102673,1,1,1,289737,5346610,1,31919267,1339854,949008,1,51241173,10545559,970685,1,1,28828262,91616421,189470,1,1,1,332331754,121867159,114666,1713298,1,1,102673,656210057,357952548,7496874,15173470,56805580,4161938,741727,310289,261877833,394007980,198236914,150501650,44631003,2600274,6398289
DIA,1097668022,1666312,10327544,185184662,147078058,148951036,180931311,193937076,1666312,10327544,1,23963364,1,161221299,15580534,1,128853194,2644332,46780363,1,76843213,20192479,5134984,101175523,1,21055004,1177999,53617541,3905248,62822089,1515369,50857618,2311208,66569032,7479928,2381838,293264164,1664821,449671408,29171230,234370520,27474859,13454937,35044139,4613546,65982334,109495709,206976792,47164062,203829238,233938964,193454770
IKE,1097326709,1926354,732017231,63382521,192843597,26788950,61718968,4018475,1926354,119802,731897430,424601,39791576,23166346,1,122411035,3337652,67094912,1,1972063,1,14029859,10787030,1,33663487,120036,18847312,5763815,3324322,1,199001,215403,1,1,219613,3384461,2470755,941934608,26839434,100449163,16550844,3543934,3717386,324303,213733,11979139,199001,34060879,2195411,141682946,63491924,843401440
PAT,1094793207,8822281,57311487,34945277,52429461,268627054,247727742,75629185,8822281,55628333,1683155,33790107,1050512,104660,48149932,3192161,767093,320278,238528609,19889471,9282219,798256,128503,214791140,1,1365806,30707886,862913,1,50402836,3235116,12871888,1664437,5239475,2215438,1,696082179,29714438,39454292,88221968,67588085,26501170,54241820,88438438,1907833,60755393,260310958,304598387,187283901,123499476,89135824,11058873
TON,1094573484,11665440,74217302,109304644,313654894,133800462,110109155,106077437,11665440,72317508,1899795,20933821,71528687,16842138,32157200,27018862,5321751,249157084,22080767,700830,15828811,23269008,71921050,1002679,420840,18404603,11853072,7778813,70649153,425522,4895565,4900493,7420926,6853961,33027677,48553299,161235132,107671327,93773053,297315650,96869048,115158156,55071920,150095442,12672741,9470951,27475514,33681696,69138431,93638434,225334751,627543476
DIF,1094447782,926666,607227,754267,38157624,25521268,45454914,547757213,926666,607227,1,283742,224602,245925,27090132,1,11067493,1,20225320,3820055,1,1475895,1,11370959,2391799,31004418,1,687741,1,541415658,1,5856424,485133,1,1,1,980858409,7448772,97645022,2674660,4685240,876281,259404,1,1,551218743,11631404,29221461,64970332,283742,14062954,1172590
UES,1093884479,160965,12891079,59601825,269558502,132982794,280726130,183456231,160965,1,12891079,1,47651237,11950589,1,18690497,1437297,249430710,1,16030320,1,43506297,73446179,1,225373155,1036523,13648973,17050199,23617284,1,121493049,275769,16452348,3573555,1,41661514,160965,480882340,15730266,336881632,94286593,23739862,55492386,83859502,2322940,14262266,123349958,230168697,33735851,35913023,123475899,499868755
MIT,1091175792,13186399,9361450,148801219,140193036,158764610,99386451,302742380,13186399,3001302,6360149,5154588,68622750,75023883,4489449,2565662,57910222,75227706,5657047,24931439,104924794,22834649,416685,12550005,9595856,60465954,1697689,8807741,6269211,2245189,14964590,7823533,237875292,9606940,30097686,129156,57283008,132563619,353787466,405882028,26425105,83182125,25898894,2311498,589585,34054036,58121365,96419580,370834768,126410932,214063038,176613183
SOC,1090079565,18725984,989653,14676238,369119391,233132143,31281108,109753838,18725984,989653,1,11406458,1,3269781,368762328,1,130451,226614,232257725,219289,116649,538483,1,31030969,1,250140,1,1,1,92185818,424132,16361063,782828,1,1,1,799643566,1193490,273167900,9558474,2476839,669657,3061613,1,125419,206344753,151710919,249781347,375167732,11523106,1658585,22222377
SHA,1088317973,938348,25910635,604036607,191542967,128262943,45286195,19925007,938348,24227033,1683603,598384657,603526,5048426,185686707,1,2188339,3667923,103180798,8887565,2086596,12285294,1822694,19846757,1,3068458,18461058,3369064,540862,14975797,319385,971065,1163657,1261716,1233392,1,995957022,11717085,15003285,37835797,16030675,4503769,1613154,115113,1,16446505,24994343,106774668,210240396,623096359,44232527,13701851
KNO,1087994814,112858,417397588,310450430,3384468,95177478,7094690,191884604,112858,417397588,1,310450430,1,1,3384468,1,1,1,52368385,1,40948478,1860617,1,5550000,1,1051739,104217,388737,1,188983125,1,388003,345337,2168142,1,1,982107871,1,99430204,2310169,4146573,1,1,1,1,205530512,6639463,53012997,4781542,353671264,419646940,112858
ROV,1087399038,188902,1723028,80196693,84302477,206828445,357318313,139773408,188902,449482,1273547,1660744,78246545,289406,1894379,78708919,3193235,505947,1,160182675,1,45900175,745597,1,259082378,1,94836315,2876094,523529,1,117122156,1,21186366,1464888,1,1,4193504,796223391,3984525,232337714,38925423,1988654,9102922,642912,1,117406669,161065375,282272713,184337536,183305610,131936501,3898981
NCI,1087234798,321441,133724,1521303,13306934,250773977,105878637,372867505,321441,1,133724,1,1,1521303,1,2190539,10984313,132084,1,81274426,30675375,138824178,1,1,40353499,3335876,59974776,2214489,1,1,36568913,2219590,197288215,135524741,1266050,1,321441,178098871,62909710,539462141,167915902,70593055,28256170,25183949,6365767,21984899,79623393,158202935,290886271,355437759,153854935,2108549
MUS,1085334956,2522387,669264116,118805563,121729829,97678609,29251787,29329129,2522387,669264116,1,110972303,2478593,5354669,110866378,5905372,1,4958081,82274026,6360483,617720,135958,8290426,26206247,1,1,1,1,3045541,18642660,7655370,163976,889360,1,1,1977767,1026532814,24743173,6136363,5983397,8290426,6612597,1977767,1794555,475391,20986018,36632162,82438001,118299799,117495393,671878665,31207291
URA,1083612678,237911,8255950,69850029,29815894,218366910,187862433,171759652,237911,642774,7613177,998603,59043913,9807515,1996884,6825529,16108220,4885264,5153453,11674821,27027554,168289327,6221759,1,31295371,808802,55562296,98551433,1644535,1,1897657,8754290,125945093,26934846,7332940,894831,9029621,121129841,70005675,403556899,226688122,68036767,82877129,8405044,66449523,23307454,16381504,130504853,245167082,143886900,486208457,33736218
AFT,1081392154,2713958,8149474,859368303,16899905,10654380,30355507,70633137,2713958,756313,7393162,802332736,2832405,54203164,1,1391207,15508699,1,1,1918742,8615345,1,120295,1,1,7141076,1,1,23214432,52498594,1,6114548,1,10482084,1,1537914,902339610,13535513,94580304,238364,10602378,38234978,4924293,10965054,708805,54239578,572750,6241558,9059817,841530085,20704082,103523986
LOG,1080913705,19382851,10297833,43354108,24700815,110372456,99188767,118934787,19382851,8830094,1467740,42523531,830578,1,3316040,3285382,1415732,16683664,33695019,3722928,8192545,56171104,8590864,2027268,1488425,3171828,33331260,59169990,1,11049343,111657,4249903,29287901,17066617,57169371,1,125485319,10906705,19941870,206694495,153711089,122927644,295824727,68294975,47323338,33028161,7568718,343428044,105995228,127025362,412270249,46125116
HRO,1080845223,1,1410542,25983242,77655036,682776934,37321821,32021965,1,1,1410542,1,25983242,1,1,77241313,1,413724,1,680824293,1,1837724,114919,102397,23129224,607672,10354322,3128210,1,1,15182767,2348784,7176867,1297699,5861087,154766,102397,975187792,4532114,49901225,22452228,16863349,5493052,5822242,341409,136898498,24699202,39718797,695577423,97454792,36810260,2093948
INF,1078671634,1898879,2378700,10411276,54600560,60566126,167983876,242759135,1898879,2378700,1,10411276,1,1,50552184,4048377,1,1,40336411,950817,19058217,220684,1,158511034,1132417,8340427,1,1,1,230544159,112572,11697089,405318,1,1,1,990010838,7122995,73654858,5841373,698191,1343384,1,1,1,239221670,176309590,53726971,60248743,34089321,2599383,1898879
CAU,1078089075,258223,333420,164699913,201045627,651157657,22085091,18385293,258223,333420,1,164357021,1,342893,201045627,1,1,1,38083492,164654,612695129,214385,1,14565833,1,3202158,4317102,1,1,13611104,154519,115044,1,4504629,1,1,439725313,319172,616771988,15912317,4504629,352612,1,127561,375490,13611104,21966880,41854861,204412437,786413458,547804,601115
LET,1077677455,231529251,10830397,9836828,209612509,168314012,221225474,83677936,231529251,10830397,1,862905,314858,8659067,142772253,1,7316655,59523603,104610840,137131,8424368,34621841,20519836,2337752,6425420,5019081,53077563,140565039,13800624,2568771,277879,1059304,13018629,56420013,8727981,1605365,497370744,7266474,33757782,169845838,323974204,24021243,15778923,1044156,3495590,4737165,16433974,114948527,263512606,121925137,214145256,339613683
ALT,1077612544,2871496,59021970,77405976,279734370,117715588,293302949,69290570,2871496,4706359,54315612,33126927,18256030,26023021,6444823,46854033,220731897,5703620,20568251,10107278,45708501,36783220,4548342,285285127,1923033,1397551,2006857,2690385,1,13268695,18397007,6480880,13485845,6569476,11088672,1,505664825,151960884,307979402,59188849,19643470,13012584,2766019,603593,16792926,15659523,310102254,30105214,39310477,135475502,312955703,93462087
RRE,1076901530,1,1,7429016,79464723,263235227,200060352,150231878,1,1,1,1,1582285,5846732,1,17898967,48087907,13477851,1,5452312,224992731,26818260,5971927,1,16653188,39595477,4246798,139093413,471480,1,16737701,71479621,954251,20384721,40675588,1,1,108624653,604184780,49698740,231158797,51821964,2819717,26808877,1442049,76280231,90360199,102722245,78909919,274186645,280563625,27850027
ANA,1076655841,4802714,19041476,43883008,127383673,178635606,337507025,72919709,4802714,8391288,10650189,1300757,28789848,13792405,6190756,99092226,2256961,19843733,55592187,83647371,4440239,6418703,28537110,235463628,78761142,4108418,3546284,6882848,8744710,36408794,7826920,4572810,1036315,2569874,980327,19524675,385841487,465480859,30345404,33433765,111676699,13608996,32681596,3365086,1,193814470,272144010,194806883,98711701,114429827,54552222,107252179
ELF,1072288963,1086531,209487137,10837380,314595393,468286023,54560553,2411995,1086531,1,209487137,249709,1611673,8976000,1,533019,1,314062375,108836,54939618,8789880,1,404447692,1,2331533,100393,1,585686,51542944,1,642721,1,1362836,1,1,406440,1445074,279592553,17866271,316183022,405151134,51644475,406440,1,1,726709,843050,2440368,56622133,9572606,2197358,990009113
ENG,1072068150,6509819,10030523,7469389,180811669,448708479,131208192,102955945,6509819,3206206,6824318,2533731,780972,4154688,55562468,123102769,1978910,167525,409873720,25677985,2078690,10397834,680254,34338471,3514673,1557938,91631832,165282,1,30751751,7059297,303330,9212625,20797732,34831215,1,620942211,171639102,10556945,144137254,39008984,83834366,646544,1302751,1,43552934,43586892,426127123,121712912,277751489,52006957,18336600
ETT,1071390355,526709,6756036,27711030,442714539,352829433,71009541,42343668,526709,586244,6169793,180629,25314118,2216285,156254,392919731,46478708,3159849,141362,290145609,3559372,20280787,38702307,144554,40082237,2675794,2707989,18475555,6923417,1,4523922,997022,6858003,6614641,23005451,344634,1735747,822627524,56487992,38734570,73310193,41783613,9165875,1495120,1,51005033,5229290,47729054,309816488,418317525,165879502,58636965
ORA,1068437017,960513,40472798,121691698,79705229,78220512,118870836,174335994,960513,29756109,10716690,765581,112550511,8375608,33112394,28990446,9700954,7901438,11641126,15623378,32430252,13301127,5224633,2106411,25713785,8803040,35657631,41773537,4816437,752763,3194823,3287116,68326706,86424650,11873792,476150,80113905,201548835,64620555,207595413,301917508,32162252,115230554,61033671,2687463,14333516,40781138,283865752,186171404,255125298,241638297,39721956
MIS,1067766068,3864077,74277320,10370143,47930889,167097133,176951868,126795891,3864077,73433463,843858,7272858,2546414,550873,39048941,1,5636887,3245063,105714740,191199,900620,58340190,1950388,81456896,17503976,1018134,63454647,13069461,448759,20996650,8399781,25735678,53027880,2020256,13977396,2638256,458921419,31038661,60534041,385927336,29154880,60524705,34122759,1362257,3016686,54402825,132164979,321072810,114171180,93723514,186031403,14296263
REG,1067531462,5001309,5051640,10866829,249105600,154107679,180999038,178561497,5001309,1865987,3185654,7648020,3218810,1,235573508,11973901,1301147,257047,142397755,11209851,500075,1,1,164986730,12894800,888348,998393,1230771,1,106610545,21218103,27281462,22141790,1309601,1,1,862622327,67115556,50332179,56457536,26481205,3242706,1279959,1,1,118654372,228617681,194215263,272384808,22429986,7616712,8444008
LIG,1066978563,194517,190751,227676714,99368952,85783243,213221089,214125478,194517,190751,1,223937018,3494326,245372,25832049,70339442,3079052,118412,30457514,11323280,43665972,336480,1,20754876,61916254,106126895,24268261,154807,1,15961798,21225301,158559273,4001357,14377753,1,1,324387634,176370966,396912734,52037314,31361085,80795345,2150635,2670340,1,53103902,94005332,327280525,177169351,380023227,7255412,558299
EPT,1066672617,1,111462931,73319592,194698288,96424742,134317064,180804802,1,1,111462931,1,42016891,31302702,1,19442272,432709,174823309,1,8555046,4111459,7437965,76320275,1,6713462,1344317,81419146,43884276,955867,1,75751914,5396492,92937690,2793704,348540,3576467,1,266150112,49126684,454864160,258779610,11936300,12502620,10697592,2152498,6673944,99714174,130310129,201439780,113113748,94773012,398568267
AIL,1066295389,1700838,142849694,154516566,170261708,231684086,131352465,187720166,1700838,312187,142537508,513091,117543484,36459993,1587426,94313847,7255571,67104867,1121628,146601724,8047645,59540598,16372495,2369035,55705040,12465345,50511664,6187467,4113919,1,10661066,150953741,10275308,12602612,1113325,2114119,7604200,568055288,231044962,189593681,57819631,6779736,2773102,1551143,1073654,466498,13910704,213590287,190607751,166534819,193104280,271087190
URN,1065987063,2907848,148810659,55699279,312750148,285309139,132049686,85665338,2907848,806169,148004491,1,50788705,4910575,1,163278598,2169600,147301952,1,98099316,150453865,30954178,5801783,1,16596227,28056372,81197453,1329018,4870620,1,42415305,1539980,24410277,6057022,9413874,1828885,3714016,526429919,215655408,284745460,15646750,17111974,2072369,311073,300102,12908210,61139546,20248798,152362742,402929873,95836125,316106219
UTE,1065304601,718829,9586298,113545603,98368868,200227820,206947298,107889518,718829,371352,9214947,1472044,33532484,78541077,7240508,2395868,25309200,63423295,5614518,482260,6624958,111416328,76089760,2635018,2093405,322652,2995208,147858338,51042682,1,1846837,2247583,1496779,18351064,1049370,82897890,18052264,49981580,115720851,205716794,246042431,85552464,147807955,189588385,729115,1938718,10012739,35526890,9542196,65133149,502457641,438909891
ROD,1065013739,15006417,23295718,7639178,17442343,202928913,252425484,94996234,15006417,20249598,3046121,2330138,2498321,2810721,4506666,4624837,5714146,2596697,4902185,195985267,805992,394850,840623,1672352,246800995,1595884,1298274,254532,803452,2914217,51401693,3464299,28057920,505280,8440183,212648,51581567,726394115,16201772,246881021,3361359,17999944,368642,961869,896708,306304110,68227468,341496365,231766781,15101188,37924442,25316673
IMA,1062594283,450217,8045675,91224125,130418799,291951519,142790604,155582105,450217,2737981,5307695,84893569,238134,6092424,44779997,1,78737197,6901607,52073465,891054,200678466,37924516,384022,17743551,2336492,20461863,91110793,10447530,690380,13128642,2637228,51170683,79339800,7322015,1,1983742,260791086,11410599,361107462,277554258,24593454,36970861,75958958,7501270,4994274,14558708,25501851,229284906,158112915,432567602,133154358,21810081
MEA,1061920787,895672,200532567,344486373,15766864,198534352,151726179,51409678,895672,199748624,783944,342641798,1844576,1,12219965,1029568,845892,1671442,194451016,1597584,1,2485754,1,148066774,406524,1739601,907240,606044,1,43391405,1,2070103,4155572,132537,1660065,1,1026364931,5662192,7394516,15314432,855544,5349066,1,980112,1,48445094,149341438,199038589,21970551,345119778,207190950,3351056
TAR,1057905785,4832692,42821424,145101795,120942886,161348790,240470449,137109462,4832692,6472697,36348728,5372630,123548301,16180866,54199179,41480529,10174401,15088780,20399045,100852204,12232356,26223482,1641707,8001628,53064900,9878091,8507786,160540088,477961,5235025,8794499,6282204,6324398,395068,106994683,3083591,105176139,369639433,62010575,58864639,172612754,152517794,64740012,34085408,2571511,21537190,20630468,85596845,239457613,69269692,540799216,77794465
ALE,1055994194,3147058,193609475,251245346,162861344,82243458,105948663,135212301,3147058,9326718,184282758,11245621,134850824,105148903,5029944,21039178,53612123,83180102,2596034,26762705,16010374,31116951,5757398,1961848,29309978,5293628,3131934,58239173,8012107,37259111,20092555,6175229,756727,12061830,35201548,23665307,80901686,437449314,193282563,119461315,86916540,97184666,28960413,5034227,3623952,45768156,25824329,40727584,57198673,108082377,326551217,422879699
OLE,1055326049,2243803,220660383,341269898,81885878,66209692,116849220,125153975,2243803,623147,220037237,663543,67204778,273401579,629933,34189074,34087946,12978928,370318,8468869,39682915,3920995,13766599,408835,30764408,48841541,27404181,5345482,4084778,413824,79211158,20365551,3800144,14216939,3243623,3902742,5509236,447850601,463513648,62498006,37175253,22183411,8609785,6402428,164995,40433452,103686566,58380612,69873215,124598462,119995663,532959972
OSI,1053469906,810401,855716,5372893,32740698,53766464,431020699,198177787,810401,1,855716,394712,4978182,1,1449560,27806578,2258467,1226096,1,2756064,30223554,20786848,1,102662,287312970,1564987,120665067,21205467,169551,1,44213763,381270,16096325,86309306,51177127,1,2757332,396096210,34428275,250499993,241736941,66036268,26115981,10565706,13259368,28999773,75706948,486327274,32054018,286095574,133138791,3061761
EIN,1052378147,7491909,29889101,663357326,102803292,86584410,58699106,29203455,7491909,7015288,22873814,9826157,642048699,11482472,816557,37420650,54377695,10188393,1222166,1944098,3111674,6328590,73977886,5687037,12795803,806582,452317,29755424,9201948,545433,12643452,2943806,1,451445,3549878,9069446,33009187,773540118,73499243,21343873,105488077,12992470,11731291,4931511,7568777,18881918,21947572,17886476,4165417,51870965,749882994,160072128
UTH,1044564537,127978,11454180,426305898,135868725,53840225,105300534,169058876,127978,1,11454180,192603,1,426113296,227343,111337325,23021028,1283032,1,45019987,3687912,1,5132328,1,10819786,84011548,439460,320808,9708936,1,134543065,31023691,979127,369007,1,2143990,547922,425559098,588899759,6824091,6559966,10105262,2143990,3563015,361442,41887883,139863577,42098754,130865411,116200705,23341835,459888189
WEL,1041901537,598341,679935600,64487054,92469145,104461517,62180130,26949038,598341,679935600,1,27333240,18016938,19136878,8548155,49146191,34310366,464436,72267213,12140636,6366531,13687140,1,11578493,23486811,1323706,351291,25439833,1,7055278,6282816,4487423,715846,550758,7856922,1,815209747,109820510,65624900,16334546,26209195,7856922,487539,358185,1,7379271,17861308,101575886,22728340,83748007,780092516,20199653
CLA,1041148274,408623,47083437,318630595,106556803,191788752,110126403,101429102,408623,45564969,1518469,318244649,221922,164026,104320362,856147,869540,510757,168212892,762379,20860772,1952712,1,41533106,125789,57891172,9999502,576838,1,71936511,882108,25214745,2158616,1237126,1,1,828684264,5623875,149215480,43917568,3547442,6997702,1693466,1468484,1,118510634,47927382,211871194,166529314,356169955,49321343,2601872
WEE,1038999156,3266399,94724255,118438868,25741870,765959914,17026358,6359699,3266399,94583166,141090,74298019,44140850,1,20573233,4687926,1,480713,14472944,5444229,1,746042743,1,4156579,9514424,318610,681503,2355246,1,1,5366242,1,1,1,993458,1,211350335,73437562,318610,747483423,2700407,1123740,1,436326,2148760,3347634,9801286,24462810,26336070,79667446,889794640,4794103
TIA,1034746451,693220,1024320,2655801,7390458,145618258,58189954,362981432,693220,1024320,1,410083,1617945,627775,235055,1,1804293,5351112,385531,1,1163052,125979258,18090420,1,1,2417418,20502850,27604580,7665109,403317,1,371468,60387997,16989700,283643309,1185646,3286661,1617945,7513407,255151276,113094995,425684411,21619892,101713745,92771882,3412463,31572323,112006298,164041866,97638878,588061179,35645948
EMB,1034111035,114410,351303,1533821,122213432,222672312,369532923,157003392,114410,351303,1,928249,605573,1,17484978,104728455,1,1,27888865,191874300,2909149,1,1,40162536,31253685,4545696,293571009,1,1,19992005,14291639,7187299,39749427,75783026,1,1,147195865,372093046,14951612,416611718,78268380,1976798,2245052,768571,1,51528395,81191196,122966573,256161396,479242867,956875,114410
DAY,1030064587,471012277,235553281,110424814,66299108,35185555,77635727,32088761,471012277,235553281,1,1464800,1,108960015,2077939,1,155182,64065989,3589866,1,1,4867072,26728619,9691986,1,137016,1,13915751,53890977,663903,1,1,1,1,2640929,28783931,724558873,1,109252211,68933060,40644369,56531905,29637784,506391,1,663903,9691986,3589866,2214954,1464800,257986064,753948193
ASI,1027882325,680865,40398974,316003262,134099388,32841496,150216336,87490993,680865,39286927,1112048,55295804,252246120,8461340,2700436,128397064,2736849,265042,4697735,7907857,16190467,3938107,107334,512786,2986011,9768647,93494368,42804392,650137,109406,12251473,482470,35283421,35141488,4222740,1,103283953,406118280,42605368,199846284,113902439,144064985,6926071,6497083,1067145,42032823,14161553,78377602,85841494,435806949,358980610,11276761
RDE,1027838104,1,535707,371289424,230436150,126595205,207148949,57555762,1,1,535707,1,362307143,8982282,1,65102981,165333170,1,1,54722794,47667115,23729301,475998,1,11419448,31645791,4167182,159229520,687012,1,718856,17660529,708640,26600207,11867534,1,1,495342115,277034494,29599420,203346861,13265901,3067331,5453090,728899,818051,5414556,30188627,92583335,145235026,729328036,11289477
STU,1027123632,621142,3915441,291078425,51483842,354345859,235079428,32638782,621142,3915441,1,291078425,1,1,48204223,1818805,1460816,1,309577924,2721371,40713551,1333016,1,190002884,1508056,21396628,14555069,7490266,126530,9673075,1863199,19704791,328725,1068996,1,1,861820231,8282938,121904531,16326262,16795431,1062964,281580,1,649702,22862611,205766941,334762802,77059519,349516258,15020268,747671
URS,1027037554,290746,16630068,211693182,380094876,138444460,111640458,99509577,290746,326855,16303214,232335,56745626,154715223,1424014,46387974,267827648,64455243,112967,73484139,27906430,130927,36810001,521657,25903910,61142351,1713244,10677771,11681530,123445,50637122,1158142,6821044,5873938,31018782,3877110,3032013,270068643,518551539,77768853,61412848,53743455,4630950,28769479,454617,2105868,60694295,31551851,151106973,90313734,381061328,309872425
FOU,1022261275,308486,269308140,439627461,82799097,59520419,67777449,7668821,308486,269308140,1,439313263,314199,1,82186864,1,612234,1,56925983,1,1,2594437,1,45777647,1,1,21999803,1,1,5076251,1,1864345,625898,1,102330,1,976681483,314199,2476578,40641158,503025,692892,951946,1,1,8486871,48008690,69663272,82812761,461313065,273883281,308486
IZE,1022022238,161816,132038631,54595650,29192522,62522104,155355138,183499133,161816,347019,131691613,1,25576755,29018896,1,1,26605239,2587284,1,264153,1,25122592,37135361,1,1460698,1,50161403,66135668,37597372,1,1,1,1875745,120748,100940144,80562499,508834,158993216,55624134,91054529,103391775,142345113,267287211,93575746,46914351,131159,11307509,2226856,2426353,59881394,586729536,359319437
OMI,1020006802,247949,4957961,14458294,124890507,91202983,404407242,171200652,247949,4172995,784967,1358231,11306030,1794035,1,104859721,19928021,102767,15621429,24816469,48794964,1970124,1,7798588,64686103,44475740,66859813,220587002,1,3029547,52625286,39875385,12785282,57223582,5661575,1,32228734,284991022,173663226,102385133,348185811,42459019,19810332,4206650,1814116,48365232,98966412,140047985,126419712,317849209,274859458,3126201
EFO,1016116937,1,1,1520732,654784392,18189488,20922194,280372583,1,1,1,1,1520732,1,1,654677606,106787,1,1,17553109,512086,124295,1,1,12663201,1,5679201,2579794,1,1,15060054,749893,1206594,263356045,1,1,1,731055121,1368764,8230745,272950964,1807882,112134,591333,1,5115195,16739603,14272666,25408987,925047084,4331605,1
LIK,1013577523,132508,709849833,55570566,159138684,13381257,58594826,2536713,132508,709849833,1,34141246,19941321,1488001,125852882,1,33139893,145911,2287783,1,124102,10787030,182345,33663487,1,17012451,6092962,1501399,324531,199001,1,1,364565,1,1973149,1,918126755,19941321,52053382,17549822,1683743,2297679,324303,213733,831010,199001,33845477,2447140,143229896,40358308,778846740,2543998
REV,1011248117,6747016,1455868,5867543,154964309,243691675,232218549,84252900,6747016,1184613,271256,5037075,830469,1,150870409,3874803,219099,1,145930798,78703299,19057580,1,1,120119084,92825646,1,18584024,689798,1,44538096,39714805,1,1,1,1,1,627357483,326376057,28372067,27180740,1067924,1,1,893851,1,158487544,164369149,239177280,229573707,46553479,2923976,7018271
AYS,1005365431,129484,533713438,48918795,330886187,14166771,66274907,9016830,129484,1,533713438,1,252824,48665972,1,598889,1,330287299,1,1513363,865363,116410,11671638,1,369898,153517,6149168,1,59602327,1,420879,270626,1480298,394613,1,6450418,129484,536869286,49955475,338178590,12066250,59602327,6450418,965634,966762,1,420879,785941,3147176,8008030,369233,992634177
ELO,1001816278,102951,1555708,127058224,45241898,112295184,100329919,181434112,102951,371000,1184709,189490,126322407,546329,1115348,40357879,236645,3532029,1,36289620,2113052,73439012,453503,6357482,55412705,183833,31801610,6217511,356783,10583572,27519197,115966,127341739,8462809,7410834,1,22977002,301503181,5077335,631225445,16985625,14840449,1955269,513780,4346975,47555650,329495508,116125332,171543069,86775853,214873071,8567524
RAD,998833819,1752781,4700262,249507503,85673860,124227047,106767362,187522893,1752781,1149548,3550715,51799135,196921783,786587,27900822,41985922,9058688,6728431,38159633,62870280,12762132,10248939,186067,14354160,37282073,20782775,17584472,16467155,296732,42607129,129749641,5153077,5557683,138518,510447,3806404,206482026,595982404,65354924,54864524,53772475,3679465,17464240,961637,272132,107391849,164593879,90884270,122708342,125210425,239136136,17931930
